vin,model,motorNo,controllerNo,batteryPackNo,manufacturingDate,customerName,customerPhone,customerLocation,deliveryDate,warrantyExpiryDate,lastCustomerContactDate,lastCustomerContactOutcome,issueCode,issueReportedDate,currentKm,registrationStatus,registrationNumber,batteryReplacementAffected,batteryReplacementCampaignId,batteryReplacementStatus,batteryReplacementOldSerial,batteryReplacementNewSerial,batteryReplacementDate,batteryReplacementTechnician,batteryReplacementCustomerConfirmed
MAT45678901234101,CT2,MT-ZF-78001,CT-INV-44001,BP-LFP-96001,2025-11-01,Shaurya Sharma,+91 98765 41001,"Ahmedabad, GJ",2025-11-21,2027-11-21,2026-08-21,connected,BMS_CELL_IMBALANCE,2026-08-18,6246,completed,GJ-01-AU-5291,TRUE,BC-2024-001,in_progress,BP-LFP-96001,,,Manoj Sharma,FALSE
MAT45678901234102,CO1,MT-ZF-78002,CT-INV-44002,BP-NMC-72002,2023-01-20,Amit Sen,+91 98765 41002,"Kolkata, WB",2023-01-28,2025-01-27,2026-08-27,message_sent,,,32336,completed,WB-02-JO-8041,TRUE,BC-2024-001,pending,BP-NMC-72002,,,,FALSE
MAT45678901234103,CT2,MT-ZF-78003,CT-INV-44003,BP-LFP-96003,2026-02-20,Aarav Grover,+91 98765 41003,"Pune, MH",2026-03-10,2028-03-09,2026-08-10,message_sent,BMS_CELL_IMBALANCE,2026-08-18,3790,completed,MH-12-VW-1406,FALSE,,not_affected,,,,,FALSE
MAT45678901234104,CO1,MT-ZF-78004,CT-INV-44004,BP-NMC-72004,2025-04-23,Amit Dutta,+91 98765 41004,"Ahmedabad, GJ",2025-05-05,2027-05-05,2026-08-21,connected,,,11360,completed,GJ-01-MF-8541,FALSE,,not_affected,,,,,FALSE
MAT45678901234105,CT2,MT-ZF-78005,CT-INV-44005,BP-LFP-96005,2024-07-24,Karan Kumar,+91 98765 41005,"Ahmedabad, GJ",2024-07-31,2026-07-31,2026-08-21,no_answer,,,28025,completed,GJ-01-YC-5279,FALSE,,not_affected,,,,,FALSE
MAT45678901234106,CT2,MT-ZF-78006,CT-INV-44006,BP-LFP-96006,2025-11-13,Amit Jha,+91 98765 41006,"Hyderabad, TS",2025-11-21,2027-11-21,2026-08-17,message_sent,,,7146,completed,TS-09-LN-9821,TRUE,BC-2024-001,pending,BP-LFP-96006,,,,FALSE
MAT45678901234107,CT2,MT-ZF-78007,CT-INV-44007,BP-LFP-96007,2024-11-07,Manoj Patil,+91 98765 41007,"Hyderabad, TS",2024-12-01,2026-12-01,2026-08-19,message_sent,,,15267,completed,TS-09-RI-5844,FALSE,,not_affected,,,,,FALSE
MAT45678901234108,CT2,MT-ZF-78008,CT-INV-44008,BP-LFP-96008,2026-06-14,Aryan Patil,+91 98765 41008,"Mumbai, MH",2026-07-07,2028-07-06,2026-08-20,no_answer,,,1161,submitted,,FALSE,,not_affected,,,,,FALSE
MAT45678901234109,CT2,MT-ZF-78009,CT-INV-44009,BP-LFP-96009,2024-10-21,Rahul Grover,+91 98765 41009,"Kolkata, WB",2024-11-09,2026-11-09,2026-08-15,no_answer,,,17178,completed,WB-02-XU-3780,FALSE,,not_affected,,,,,FALSE
MAT45678901234110,CT2,MT-ZF-78010,CT-INV-44010,BP-LFP-96010,2024-04-26,Amit Singh,+91 98765 41010,"Mumbai, MH",2024-05-10,2026-05-10,2026-08-22,connected,BATTERY_RECALL,2026-08-12,21000,completed,MH-02-ZP-2193,TRUE,BC-2024-001,in_progress,BP-LFP-96010,,,Amit Yadav,FALSE
MAT45678901234111,CT2,MT-ZF-78011,CT-INV-44011,BP-LFP-96011,2023-01-12,Riya Sharma,+91 98765 41011,"Kolkata, WB",2023-01-20,2025-01-19,2026-08-16,connected,BMS_CELL_IMBALANCE,2026-08-18,33540,completed,WB-02-OX-2988,FALSE,,not_affected,,,,,FALSE
MAT45678901234112,CO1,MT-ZF-78012,CT-INV-44012,BP-NMC-72012,2025-05-23,Ishaan Mehta,+91 98765 41012,"Jaipur, RJ",2025-06-14,2027-06-14,2026-08-15,connected,,,15204,completed,RJ-14-GQ-9540,FALSE,,not_affected,,,,,FALSE
MAT45678901234113,CT2,MT-ZF-78013,CT-INV-44013,BP-LFP-96013,2024-11-18,Arjun Yadav,+91 98765 41013,"Bengaluru, KA",2024-12-03,2026-12-03,2026-08-12,connected,,,15561,completed,KA-03-SS-2052,TRUE,BC-2024-001,completed,BP-LFP-96013,BP-LFP-96013-R,2025-09-18,Manoj Sharma,TRUE
MAT45678901234114,CT2,MT-ZF-78014,CT-INV-44014,BP-LFP-96014,2023-02-10,Aryan Mehta,+91 98765 41014,"Chennai, TN",2023-03-05,2025-03-04,2026-08-17,no_answer,,,25452,completed,TN-09-KX-7865,TRUE,BC-2024-001,pending,BP-LFP-96014,,,,FALSE
MAT45678901234115,CO1,MT-ZF-78015,CT-INV-44015,BP-NMC-72015,2025-03-07,Rohit Rao,+91 98765 41015,"Jaipur, RJ",2025-03-22,2027-03-22,2026-08-17,message_sent,,,13073,completed,RJ-14-NX-1444,TRUE,BC-2024-001,completed,BP-NMC-72015,BP-NMC-72015-R,2025-12-04,Rajesh Kumar,TRUE
MAT45678901234116,CO1,MT-ZF-78016,CT-INV-44016,BP-NMC-72016,2025-07-20,Ishaan Sen,+91 98765 41016,"Ahmedabad, GJ",2025-08-04,2027-08-04,2026-08-19,no_answer,,,11492,completed,GJ-01-CA-9837,TRUE,BC-2024-001,completed,BP-NMC-72016,BP-NMC-72016-R,2026-02-12,Vikram Singh,TRUE
MAT45678901234117,CT2,MT-ZF-78017,CT-INV-44017,BP-LFP-96017,2026-06-26,Vijay Nair,+91 98765 41017,"Delhi, DL",2026-07-05,2028-07-04,2026-08-22,connected,,,1084,delivered,,TRUE,BC-2024-001,completed,BP-LFP-96017,BP-LFP-96017-R,2026-07-02,Rajesh Kumar,TRUE
MAT45678901234118,CT2,MT-ZF-78018,CT-INV-44018,BP-LFP-96018,2024-09-29,Prisha Yadav,+91 98765 41018,"Lucknow, UP",2024-10-07,2026-10-07,2026-08-11,connected,,,21137,completed,UP-32-YF-4978,FALSE,,not_affected,,,,,FALSE
